Run	Sample	Dataset	Table	Hypoxia_state	Cell_type_new	Cell_type	Cell_type_details	Extended_details	Stimulation	Therapy	Modification	Diagnosis	GSM	Sorting_markers	Comment	Cell_origin	Rna_extraction_kit	Library_preparation_kit	Cells_isolation_kit	Donor_id	Gender	Age	Age_range	PMID	Material_type	Layout	Readcounts	To_check	QC_bad	QC_good	QC_score	Who_checks	Decision	Expression_comment	Run_id	Sample_id	Run_tiledb_id	Sample_tiledb_id	Spike_in	Response	Material_sampling_time	Only for target (CR type)	Prior_surgery	Adverse_event	Diagnosis_comment	Stage	Combo_class	Measurement_method	Race/Ethnicity	UMI (Only for target)	Deconvolution_cell_type	Filter_tag	Filter_tag
SRR5679919	SRX2915409	GSE99987	Cells	Control	Macrophages	Macrophages	Monocyte-derived macrophages	Macrophage in Normoxia 24h					GSM2667006												polyA RNA	PAIRED	10747728				6.75	ddyikanov	good	281221	7474	4754	12229	12228													Macrophages		
SRR5679923	SRX2915411	GSE99987	Cells	Hypoxia	Macrophages_hypoxic	Macrophages	Monocyte-derived macrophages	Macrophage in Hypoxia 24h					GSM2667008												polyA RNA	PAIRED	11912612				6.75	ddyikanov	good	281221	7480	4756	12237	12236													Macrophages		
SRR5679924	SRX2915411	GSE99987	Cells	Hypoxia	Macrophages_hypoxic	Macrophages	Monocyte-derived macrophages	Macrophage in Hypoxia 24h					GSM2667008												polyA RNA	PAIRED	11845480				6.75	ddyikanov	good	281221	7481	4756	12238	12236													Macrophages		
SRR5679925	SRX2915411	GSE99987	Cells	Hypoxia	Macrophages_hypoxic	Macrophages	Monocyte-derived macrophages	Macrophage in Hypoxia 24h					GSM2667008												polyA RNA	PAIRED	10963522				6.75	ddyikanov	good	281221	7482	4756	12239	12236													Macrophages		
SRR5679929	SRX2915413	GSE99987	Cells	Control	Macrophages	Macrophages	Monocyte-derived macrophages	Macrophage in Normoxia 48h					GSM2667010												polyA RNA	PAIRED	11923221				6.75	ddyikanov	good	281221	7488	4758	12247	12244													Macrophages		
SRR5679930	SRX2915413	GSE99987	Cells	Control	Macrophages	Macrophages	Monocyte-derived macrophages	Macrophage in Normoxia 48h					GSM2667010												polyA RNA	PAIRED	11880882				6.75	ddyikanov	good	281221	7487	4758	12246	12244													Macrophages		
SRR5679931	SRX2915413	GSE99987	Cells	Control	Macrophages	Macrophages	Monocyte-derived macrophages	Macrophage in Normoxia 48h					GSM2667010												polyA RNA	PAIRED	8772858				6.75	ddyikanov	good	281221	7486	4758	12245	12244													Macrophages		
SRR5679935	SRX2915415	GSE99987	Cells	Hypoxia	Macrophages_hypoxic	Macrophages	Monocyte-derived macrophages	Macrophage in Hypoxia for 48h					GSM2667012												polyA RNA	PAIRED	12228752				6.75	ddyikanov	good	281221	7493	4760	12254	12252													Macrophages		
SRR5679936	SRX2915415	GSE99987	Cells	Hypoxia	Macrophages_hypoxic	Macrophages	Monocyte-derived macrophages	Macrophage in Hypoxia for 48h					GSM2667012												polyA RNA	PAIRED	12193726				6.75	ddyikanov	good	281221	7494	4760	12255	12252													Macrophages		
SRR5679937	SRX2915415	GSE99987	Cells	Hypoxia	Macrophages_hypoxic	Macrophages	Monocyte-derived macrophages	Macrophage in Hypoxia for 48h					GSM2667012												polyA RNA	PAIRED	4705516				6.25	ddyikanov	good	281221	7492	4760	12253	12252													Macrophages		
SRR5679942	SRX2915417	GSE99987	Cells	Control	Macrophages	Macrophages	Monocyte-derived macrophages	Macrophage in Normoxia 24h					GSM2667014												polyA RNA	PAIRED	12830982				6.75	ddyikanov	good	281221	7500	4762	12263	12261													Macrophages		
SRR5679943	SRX2915417	GSE99987	Cells	Control	Macrophages	Macrophages	Monocyte-derived macrophages	Macrophage in Normoxia 24h					GSM2667014												polyA RNA	PAIRED	12848379				7	ddyikanov	good	281221	7502	4762	12265	12261													Macrophages		
SRR5679944	SRX2915417	GSE99987	Cells	Control	Macrophages	Macrophages	Monocyte-derived macrophages	Macrophage in Normoxia 24h					GSM2667014												polyA RNA	PAIRED	12827046				6.75	ddyikanov	good	281221	7501	4762	12264	12261													Macrophages		
SRR5679945	SRX2915417	GSE99987	Cells	Control	Macrophages	Macrophages	Monocyte-derived macrophages	Macrophage in Normoxia 24h					GSM2667014												polyA RNA	PAIRED	3969732				6.25	ddyikanov	good	281221	7499	4762	12262	12261													Macrophages		
SRR5679950	SRX2915419	GSE99987	Cells	Hypoxia	Macrophages_hypoxic	Macrophages	Monocyte-derived macrophages	Macrophage in Hypoxia 24h					GSM2667016												polyA RNA	PAIRED	12786585				7	ddyikanov	good	281221	7507	4764	12272	12271													Macrophages		
SRR5679951	SRX2915419	GSE99987	Cells	Hypoxia	Macrophages_hypoxic	Macrophages	Monocyte-derived macrophages	Macrophage in Hypoxia 24h					GSM2667016												polyA RNA	PAIRED	12776114				6.75	ddyikanov	good	281221	7510	4764	12275	12271													Macrophages		
SRR5679952	SRX2915419	GSE99987	Cells	Hypoxia	Macrophages_hypoxic	Macrophages	Monocyte-derived macrophages	Macrophage in Hypoxia 24h					GSM2667016												polyA RNA	PAIRED	12787274				6.75	ddyikanov	good	281221	7508	4764	12273	12271													Macrophages		
SRR5679953	SRX2915419	GSE99987	Cells	Hypoxia	Macrophages_hypoxic	Macrophages	Monocyte-derived macrophages	Macrophage in Hypoxia 24h					GSM2667016												polyA RNA	PAIRED	11396821				6.75	ddyikanov	good	281221	7509	4764	12274	12271													Macrophages		
SRR5679958	SRX2915421	GSE99987	Cells	Control	Macrophages	Macrophages	Monocyte-derived macrophages	Macrophage in Normoxia 48h					GSM2667018												polyA RNA	PAIRED	12430694				6.75	ddyikanov	good	281221	7516	4766	12283	12281													Macrophages		
SRR5679959	SRX2915421	GSE99987	Cells	Control	Macrophages	Macrophages	Monocyte-derived macrophages	Macrophage in Normoxia 48h					GSM2667018												polyA RNA	PAIRED	12435413				6.75	ddyikanov	good	281221	7515	4766	12282	12281													Macrophages		
SRR5679960	SRX2915421	GSE99987	Cells	Control	Macrophages	Macrophages	Monocyte-derived macrophages	Macrophage in Normoxia 48h					GSM2667018												polyA RNA	PAIRED	12400526				6.75	ddyikanov	good	281221	7517	4766	12284	12281													Macrophages		
SRR5679961	SRX2915421	GSE99987	Cells	Control	Macrophages	Macrophages	Monocyte-derived macrophages	Macrophage in Normoxia 48h					GSM2667018												polyA RNA	PAIRED	4884123				6.75	ddyikanov	good	281221	7518	4766	12285	12281													Macrophages		
SRR5679962	SRX2915422	GSE99987	Cells	Control	Macrophages	Macrophages	Monocyte-derived macrophages	Macrophage in Normoxia with RANKL for 48h					GSM2667019												polyA RNA	PAIRED	12652793				6.75	ddyikanov	good	281221	7522	4767	12290	12286													Macrophages		
SRR5679963	SRX2915422	GSE99987	Cells	Control	Macrophages	Macrophages	Monocyte-derived macrophages	Macrophage in Normoxia with RANKL for 48h					GSM2667019												polyA RNA	PAIRED	12653343				7	ddyikanov	good	281221	7521	4767	12289	12286													Macrophages		
SRR5679964	SRX2915422	GSE99987	Cells	Control	Macrophages	Macrophages	Monocyte-derived macrophages	Macrophage in Normoxia with RANKL for 48h					GSM2667019												polyA RNA	PAIRED	12631456				6.75	ddyikanov	good	281221	7519	4767	12287	12286													Macrophages		
SRR5679965	SRX2915422	GSE99987	Cells	Control	Macrophages	Macrophages	Monocyte-derived macrophages	Macrophage in Normoxia with RANKL for 48h					GSM2667019												polyA RNA	PAIRED	10073245				6.5	ddyikanov	good	281221	7520	4767	12288	12286													Macrophages		
SRR5679966	SRX2915423	GSE99987	Cells	Hypoxia	Macrophages_hypoxic	Macrophages	Monocyte-derived macrophages	Macrophage in Hypoxia for 48h					GSM2667020												polyA RNA	PAIRED	12340694				6.75	ddyikanov	good	281221	7526	4768	12295	12291													Macrophages		
SRR5679967	SRX2915423	GSE99987	Cells	Hypoxia	Macrophages_hypoxic	Macrophages	Monocyte-derived macrophages	Macrophage in Hypoxia for 48h					GSM2667020												polyA RNA	PAIRED	12345916				6.75	ddyikanov	good	281221	7525	4768	12294	12291													Macrophages		
SRR5679968	SRX2915423	GSE99987	Cells	Hypoxia	Macrophages_hypoxic	Macrophages	Monocyte-derived macrophages	Macrophage in Hypoxia for 48h					GSM2667020												polyA RNA	PAIRED	12312998				6.75	ddyikanov	good	281221	7524	4768	12293	12291													Macrophages		
SRR5679969	SRX2915423	GSE99987	Cells	Hypoxia	Macrophages_hypoxic	Macrophages	Monocyte-derived macrophages	Macrophage in Hypoxia for 48h					GSM2667020												polyA RNA	PAIRED	5106268				6.75	ddyikanov	good	281221	7523	4768	12292	12291													Macrophages		
SRR5679970	SRX2915424	GSE99987	Cells	Hypoxia	Macrophages_hypoxic	Macrophages	Monocyte-derived macrophages	Macrophage in Hypoxia with RANKL for 48h					GSM2667021												polyA RNA	PAIRED	12555179				6.75	ddyikanov	good	281221	7527	4769	12297	12296													Macrophages		
SRR5679971	SRX2915424	GSE99987	Cells	Hypoxia	Macrophages_hypoxic	Macrophages	Monocyte-derived macrophages	Macrophage in Hypoxia with RANKL for 48h					GSM2667021												polyA RNA	PAIRED	12563903				6.75	ddyikanov	good	281221	7528	4769	12298	12296													Macrophages		
SRR5679972	SRX2915424	GSE99987	Cells	Hypoxia	Macrophages_hypoxic	Macrophages	Monocyte-derived macrophages	Macrophage in Hypoxia with RANKL for 48h					GSM2667021												polyA RNA	PAIRED	12515839				6.75	ddyikanov	good	281221	7530	4769	12300	12296													Macrophages		
SRR5679973	SRX2915424	GSE99987	Cells	Hypoxia	Macrophages_hypoxic	Macrophages	Monocyte-derived macrophages	Macrophage in Hypoxia with RANKL for 48h					GSM2667021												polyA RNA	PAIRED	4959730				6.75	ddyikanov	good	281221	7529	4769	12299	12296													Macrophages		
SRR6503273	SRX3591900	GSE109367	Cells	Hypoxia	Fibroblasts_hypoxic	Fibroblast_line	BJ, skin fibroblast line	cultured in hypoxia					GSM2940518												polyA RNA	PAIRED	19556102				5.25				17690	13123	30814	30813													Fibroblast_line		
SRR6503274	SRX3591901	GSE109367	Cells	Hypoxia	Fibroblasts_hypoxic	Fibroblast_line	BJ, skin fibroblast line	cultured in hypoxia					GSM2940519												polyA RNA	PAIRED	18961909				6.5				17691	13124	30816	30815													Fibroblast_line		
SRR6503275	SRX3591902	GSE109367	Cells	Control	Fibroblasts	Fibroblast_line	BJ, skin fibroblast line						GSM2940520												polyA RNA	PAIRED	18302239				5.25				17692	13125	30818	30817													Fibroblast_line		
SRR6503276	SRX3591903	GSE109367	Cells	Control	Fibroblasts	Fibroblast_line	BJ, skin fibroblast line						GSM2940521												polyA RNA	PAIRED	19279561				5				17693	13126	30820	30819													Fibroblast_line		
SRR6503277	SRX3591904	GSE109367	Cells	Hypoxia	Fibroblasts_hypoxic	Fibroblast_line	BJ, skin fibroblast line	hTert transfected and cultured in hypoxia					GSM2940522												polyA RNA	PAIRED	24973471				6				17694	13127	30822	30821													Fibroblast_line		
SRR6503278	SRX3591905	GSE109367	Cells	Hypoxia	Fibroblasts_hypoxic	Fibroblast_line	BJ, skin fibroblast line	hTert transfected and cultured in hypoxia					GSM2940523												polyA RNA	PAIRED	25669678				6				17695	13128	30824	30823													Fibroblast_line		
SRR6503279	SRX3591906	GSE109367	Cells	Control	Fibroblasts	Fibroblast_line	BJ, skin fibroblast line	hTert transfected					GSM2940524												polyA RNA	PAIRED	25629553				6.5				17696	13129	30826	30825													Fibroblast_line		
SRR6503280	SRX3591907	GSE109367	Cells	Control	Fibroblasts	Fibroblast_line	BJ, skin fibroblast line	hTert transfected					GSM2940525												polyA RNA	PAIRED	19686632				5				17697	13130	30828	30827													Fibroblast_line		
SRR6503281	SRX3591908	GSE109367	Cells	Hypoxia	Fibroblasts_hypoxic	Fibroblast_line	BJ, skin fibroblast line	SV40 transfected and cultured in hypoxia					GSM2940526												polyA RNA	PAIRED	24287282				6.5				17698	13131	30830	30829													Fibroblast_line		
SRR6503282	SRX3591909	GSE109367	Cells	Hypoxia	Fibroblasts_hypoxic	Fibroblast_line	BJ, skin fibroblast line	SV40 transfected and cultured in hypoxia					GSM2940527												polyA RNA	PAIRED	15729359				6.25				17699	13132	30832	30831													Fibroblast_line		
SRR6503283	SRX3591910	GSE109367	Cells	Control	Fibroblasts	Fibroblast_line	BJ, skin fibroblast line	SV40 transfected					GSM2940528												polyA RNA	PAIRED	20016495				5				17700	13133	30834	30833													Fibroblast_line		
SRR6503284	SRX3591911	GSE109367	Cells	Control	Fibroblasts	Fibroblast_line	BJ, skin fibroblast line	SV40 transfected					GSM2940529												polyA RNA	PAIRED	18110002				6				17701	13134	30836	30835													Fibroblast_line		
SRR6503285	SRX3591912	GSE109367	Cells	Hypoxia	Fibroblasts_hypoxic	Fibroblast_line	BJ, skin fibroblast line	hRas-G12V transfected and cultured in hypoxia					GSM2940530												polyA RNA	PAIRED	29481072				6.5				17702	13135	30838	30837													Fibroblast_line		
SRR6503286	SRX3591913	GSE109367	Cells	Hypoxia	Fibroblasts_hypoxic	Fibroblast_line	BJ, skin fibroblast line	hRas-G12V transfected and cultured in hypoxia					GSM2940531												polyA RNA	PAIRED	19310736				6.5				17703	13136	30840	30839													Fibroblast_line		
SRR6503287	SRX3591914	GSE109367	Cells	Control	Fibroblasts	Fibroblast_line	BJ, skin fibroblast line	hRas-G12V transfected					GSM2940532												polyA RNA	PAIRED	19552855				6				17704	13137	30842	30841													Fibroblast_line		
SRR6503288	SRX3591915	GSE109367	Cells	Control	Fibroblasts	Fibroblast_line	BJ, skin fibroblast line	hRas-G12V transfected					GSM2940533												polyA RNA	PAIRED	18174811				6				17705	13138	30844	30843													Fibroblast_line		
SRR7171185	SRX4089115	GSE114519	Cells	Hypoxia	NK_cells_hypoxic	NK_cells			treated with hypoxia				GSM3143374												total RNA	PAIRED	38789614				6	ValyaBelyaeva	good	250621 no comments	9195	6197	15393	15392													NK_cells		
SRR7171186	SRX4089116	GSE114519	Cells	Control	NK_cells	NK_cells							GSM3143375												total RNA	PAIRED	24321848				5	ValyaBelyaeva	ok	250621 seems like NK, but there are some non-typical expressions	9196	6198	15395	15394													NK_cells		
SRR7171188	SRX4089118	GSE114519	Cells	Control	NK_cells	NK_cells							GSM3143377												total RNA	PAIRED	14737788				6	ValyaBelyaeva	ok	250621 seems like NK, but there are some non-typical expressions	9198	6200	15399	15398													NK_cells		
SRR8443748	SRX5250916	GSE112866	Cells	Hypoxia	Hepatocytes_hypoxic	Hepatocytes	cultured in hypoxia						GSM3563537												polyA RNA	PAIRED	26670243	Yes			5.5	Daniyar	good	This is fine	10675	7406	18082	18081													Hepatocytes		
SRR8443749	SRX5250917	GSE112866	Cells	Hypoxia	Hepatocytes_hypoxic	Hepatocytes	cultured in hypoxia						GSM3563538												polyA RNA	PAIRED	21726436	Yes			5.5	Daniyar	good	This is fine	10676	7407	18084	18083													Hepatocytes		
SRR6976466	SRX3918077	GSE112866	Cells	Control	Hepatocytes	Hepatocytes							GSM3090157												polyA RNA	PAIRED	18602593				5.5	Daniyar	good	Expressions' level is below average	10315	7226	17542	17541													Hepatocytes		
SRR6976467	SRX3918078	GSE112866	Cells	Control	Hepatocytes	Hepatocytes							GSM3090158												polyA RNA	PAIRED	18437803				5.5	Daniyar	good	Expressions' level is below average	10316	7227	17544	17543													Hepatocytes		
SRR6976468	SRX3918079	GSE112866	Cells	Control	Hepatocytes	Hepatocytes							GSM3090159												polyA RNA	PAIRED	22895977				5.5	Daniyar	good	Expressions' level is below average	10317	7228	17546	17545													Hepatocytes		
SRR6976469	SRX3918080	GSE112866	Cells	Control	Hepatocytes	Hepatocytes							GSM3090160												polyA RNA	PAIRED	22059969				5.5	Daniyar	good	Expressions' level is below average	10318	7229	17548	17547													Hepatocytes		
SRR6976470	SRX3918081	GSE112866	Cells	Control	Hepatocytes	Hepatocytes							GSM3090161												polyA RNA	PAIRED	24938766				5.5	Daniyar	good	Expressions' level is below average	10319	7230	17550	17549													Hepatocytes		
SRR6976471	SRX3918082	GSE112866	Cells	Control	Hepatocytes	Hepatocytes							GSM3090162												polyA RNA	PAIRED	19632017				5.25	Daniyar	good	Expressions' level is below average	10320	7231	17552	17551													Hepatocytes		
SRR6976472	SRX3918083	GSE112866	Cells	Control	Hepatocytes	Hepatocytes							GSM3090163												polyA RNA	PAIRED	24914006				5.5	Daniyar	good	Expressions' level is below average	10321	7232	17554	17553													Hepatocytes		
SRR6976473	SRX3918084	GSE112866	Cells	Control	Hepatocytes	Hepatocytes							GSM3090164												polyA RNA	PAIRED	27045410				5.5	Daniyar	good	Expressions' level is below average	10322	7233	17556	17555													Hepatocytes		
SRR6976474	SRX3918085	GSE112866	Cells	Control	Hepatocytes	Hepatocytes							GSM3090165												polyA RNA	PAIRED	22834357				5.5	Daniyar	good	Expressions' level is below average	10323	7234	17558	17557													Hepatocytes		
SRR6976475	SRX3918086	GSE112866	Cells	Control	Hepatocytes	Hepatocytes							GSM3090166												polyA RNA	PAIRED	18962556				5.5	Daniyar	good	Expressions' level is below average	10324	7235	17560	17559													Hepatocytes		
SRR10071159	SRX6804742	GSE136908	Cells	Hypoxia	Endothelium_hypoxic	Endothelium	microvascular endothelial cells		hypoxia				GSM4061744				phenol-chloroform								polyA RNA	SINGLE	22247477				7	a_zotova	ok	250621 checked	36537	26306	36537	26308													Endothelium		
SRR10071160	SRX6804743	GSE136908	Cells	Hypoxia	Endothelium_hypoxic	Endothelium	microvascular endothelial cells		hypoxia				GSM4061745				phenol-chloroform								polyA RNA	SINGLE	24714237				7	a_zotova	ok	250621 checked	36539	26308	36539	26310													Endothelium		
SRR10071161	SRX6804744	GSE136908	Cells	Hypoxia	Endothelium_hypoxic	Endothelium	microvascular endothelial cells		hypoxia				GSM4061746				phenol-chloroform								polyA RNA	SINGLE	26230438				7	a_zotova	ok	250621 checked	36540	26309	36540	26311													Endothelium		
SRR10071162	SRX6804745	GSE136908	Cells	Hypoxia	Endothelium_hypoxic	Endothelium	microvascular endothelial cells		hypoxia				GSM4061747				phenol-chloroform								polyA RNA	SINGLE	27794349				7	a_zotova	ok	250621 checked	36541	26310	36541	26312													Endothelium		
SRR10071163	SRX6804746	GSE136908	Cells	Hypoxia	Endothelium_hypoxic	Endothelium	microvascular endothelial cells		hypoxia				GSM4061748				phenol-chloroform								polyA RNA	SINGLE	25051767				7	a_zotova	ok	250621 checked	36536	26305	36536	26307													Endothelium		
SRR10071164	SRX6804747	GSE136908	Cells	Hypoxia	Endothelium_hypoxic	Endothelium	microvascular endothelial cells		hypoxia				GSM4061749				phenol-chloroform								polyA RNA	SINGLE	23458256				7	a_zotova	ok	250621 checked	36535	26304	36535	26306													Endothelium		
SRR10071165	SRX6804748	GSE136908	Cells	Hypoxia	Endothelium_hypoxic	Endothelium	microvascular endothelial cells		hypoxia				GSM4061750				phenol-chloroform								polyA RNA	SINGLE	28413538				7	a_zotova	ok	250621 checked	36542	26311	36542	26313													Endothelium		
SRR10071166	SRX6804749	GSE136908	Cells	Hypoxia	Endothelium_hypoxic	Endothelium	microvascular endothelial cells		hypoxia				GSM4061751				phenol-chloroform								polyA RNA	SINGLE	26037392				7	a_zotova	ok	250621 checked	36538	26307	36538	26309													Endothelium		
SRR10402078	SRX7101473	GSE139963	Cells_to_check	Control	Fibroblasts	Fibroblasts	HPF_fibroblast		Without_stimulation	Without_therapy	Without_modification	Healthy	GSM4150583			Lung	Tri Reagents	TruSeq Stranded mRNA (illumina)		1	M	74		31925944	polyA RNA	PAIRED	21722853				5.833333				50803	37004	50437	36644											Caucasian		Fibroblasts		
SRR10402079	SRX7101474	GSE139963	Cells_to_check	Control	Fibroblasts	Fibroblasts	HPF_fibroblast		Without_stimulation	Without_therapy	Without_modification	Healthy	GSM4150584			Lung	Tri Reagents	TruSeq Stranded mRNA (illumina)		1	M	74		31925944	polyA RNA	PAIRED	16805999				5.541667				50804	37005	50438	36645											Caucasian		Fibroblasts		
SRR10402080	SRX7101475	GSE139963	Cells_to_check	Control	Fibroblasts	Fibroblasts	HPF_fibroblast		Without_stimulation	Without_therapy	Without_modification	Healthy	GSM4150585			Lung	Tri Reagents	TruSeq Stranded mRNA (illumina)		1	M	74		31925944	polyA RNA	PAIRED	18267200				5.833333				50802	37003	50436	36643											Caucasian		Fibroblasts		
SRR10402081	SRX7101476	GSE139963	Cells_to_check	Control	Fibroblasts	Fibroblasts	HPF_fibroblast		Stimulated with TGFb1 	Without_therapy	Without_modification	Healthy	GSM4150586			Lung	Tri Reagents	TruSeq Stranded mRNA (illumina)		1	M	74		31925944	polyA RNA	PAIRED	20005185				5.833333				50801	37002	50435	36642											Caucasian		Fibroblasts		
SRR10402082	SRX7101477	GSE139963	Cells_to_check	Control	Fibroblasts	Fibroblasts	HPF_fibroblast		Stimulated with TGFb1 	Without_therapy	Without_modification	Healthy	GSM4150587			Lung	Tri Reagents	TruSeq Stranded mRNA (illumina)		1	M	74		31925944	polyA RNA	PAIRED	19634475				5.833333				50808	37009	50442	36649											Caucasian		Fibroblasts		
SRR10402083	SRX7101478	GSE139963	Cells_to_check	Control	Fibroblasts	Fibroblasts	HPF_fibroblast		Stimulated with TGFb1 	Without_therapy	Without_modification	Healthy	GSM4150588			Lung	Tri Reagents	TruSeq Stranded mRNA (illumina)		1	M	74		31925944	polyA RNA	PAIRED	18717396				5.833333				50799	37000	50433	36640											Caucasian		Fibroblasts		
