	Supposed_GOI	FGES_source	Genes	Link
GSE20151_CTRL_VS_FUSOBACT_NUCLEATUM_NEUTROPHIL_DN	Neutrophils	MSigDb_Dif_Expression	SLC25A24, BAZ2B, PSENEN, TIA1, RLF, MYL3, POMP, POLR2G, CD52, GLA, GABPB1-IT1, DEF8, TMEM268, ATF3, IFIT5, KCNA4, VIPR1, CAMLG, DDX46, SEL1L, SLC2A9, IKZF5, PRMT2, PEF1, YTHDC2, ARHGEF11, NSUN5, CRY1, IL1R2, CLDN8, NIBAN1, SAA4, RPL6, SUMO1, ARHGEF40, CORO7, KTN1, NFATC1, MYOT, PTEN, ANAPC13, BPESC1, DHX40, SHFL, HNRNPA0, CPEB3, SENP6, RCOR1, RAB32, TXNL4A, KDM3B, RGL2, CEP68, CDS2, PSME4, LRFN4, ATP5MJ, JMJD1C, UBE2K, IDH3G, PKN2, ANP32B, ZCCHC8, SS18L1, DHX29, AGPAT1, ORMDL2, MRPL33, PSMD12, TNS1, MTF2, USP32P2, HSPE1, P2RY14, CLDN6, CD302, TNFRSF10C, NUP133, COMMD8, ODR4, WDR47, NPY1R, RASL12, NQO2, DOCK10, CHUK, PSMA2, KLF11, APH1A, SOS2, HIGD1A, SATB1, PLP2, PRC1, PARP8, PIGG, H1-0, GLRX3, NDUFA4, ZNF140, VPS11, YIPF1, MBD2, CYC1, WDR45B, VDAC3, SLC35A1, SYNJ1, DNAJB14, DPP6, SH3BGRL, RTL8C, IL18RAP, MYOC, GABRB1, NANS, MARCHF3, CORO1A, ANXA5, CASP7, AKAP17A, GNPAT, RSBN1, TLR5, PSMB2, ANO10, CA4, HAX1, HSPBAP1, SFN, WNT5A, PHF3, BPTF, GUK1, USP22, MDH1, TDG, SEPTIN11, FAAP24, CD59, RNF4, UBE4A, RPL24, SMARCD2, ST13, GRIK2, YIPF4, CCND3, NOTCH1, LILRA3, STAG1, RBBP7, INTS8, MGST2, USP15, MARF1, LARS1, SAP18, ZFP36L1, DDIT3, GALNT1, SDC4, PPP1CA, CNN2, MGAM, ITPKB, REPIN1, FLI1, HSD17B7, INTS6, MED6, DDX54, IFNA14, OSGIN2, RAB2A, STMN1, EMD, IPPK, KHDC1L, UCHL5, NFE2, UQCRC2, VPS54, DHRS9, THUMPD1, MDM4, CALCOCO1, FAM13B, SLC30A1, USP4, S100A12, AP5Z1, TCFL5, SCAMP1, DESI2, ADNP2, AGO2, ITGA2, HSPA13	MSigDb_Dif_Expression
GSE37416_0H_VS_3H_F_TULARENSIS_LVS_NEUTROPHIL_DN	Neutrophils	MSigDb_Dif_Expression	MIS18A, MCM6, RLF, LDHA, PTGES, TJAP1, CHMP2B, DHX36, ANKRD33B, GGT1, TNF, FRMD4B, DIABLO, P4HB, ARIH1, HPS5, PIK3R5, SNPH, SLC36A4, ENO1, PLAUR, ELL2, IL1R2, RNMT, ZHX2, CBX5, MAFG, NABP1, PLEKHB2, IER5, PSEN1, ASCC1, DUSP5, TFRC, BRAF, EML2, TPI1, ANKHD1, CDADC1, SNX20, KCNH2, MAP3K8, WDR1, YPEL5, RGS1, MAGT1, GPAT4, MAPK1IP1L, SH3D21, LIMS3, MAP4K4, FBXO28, GJB6, EIF4A1, METTL21A, TMEM41B, ANKS3, ADM, DYNLT3, PPP2CA, SOD2, PDCD4, APOO, KIFC1, PIK3IP1, ATP1A1, RAPGEF2, N4BP1, PHF19, RASSF5, PDE4D, BRPF3, DUSP16, OXSR1, STRAP, USP47, TNFRSF8, CERK, EMP3, HMGA1, THUMPD3-AS1, TXNDC11, IL10RA, SERP1, PDE2A, STX11, RBM12, PNPLA8, ACAA1, CCDC134, TOM1, GASK1A, DNAJB11, THAP9, CTNNAL1, OXSM, BZW1, ZNF16, CABLES2, SERPINB9P1, DCAF1, MAP2K3, B3GNT5, SNAPC1, AFTPH, TRAF3IP3, PDE4B, NFKBIA, TFDP1, FKBP2, PRKCH, ARF4, EZH2, NFE2L2, STIP1, GPATCH2L, CCNT1, EAF1, SEC22B, SLC43A3, CHD4, NFKBID, TMEM170A, CXCL16, SPAG4, RALGAPA1, SEC31A, WTAP, CYTH3, TIPARP, SNU13, SPHK1, ZBTB1, KANSL3, EIF1AX, CYP51A1, MADD, DNTTIP2, GGA1, TMEM88, EFCAB3, GNA15, TAF13, C9orf72, LACC1, TNFAIP6, ATP6V1C1, CHD1, NUP98, G3BP2, SEC23B, FBXW7, SUB1, SYNCRIP, SETD5, MAFK, CD83, TFG, ABCF1, DUSP2, RBKS, ZMIZ1, CNOT2, ZNF292, IL4R, CREB3, HIVEP2, MAFF, FAM209B, DENND5A, ETV3, ATP13A3, NFKBIE, SIPA1L1, SPTY2D1, PGK2, HSPA9, TGIF2, SNIP1, PRR5L, SLC35B2, POLR3E, CDKN1A, LRRC20, LAMB3, RAB8B, MAPK6, GPR65, ZNF267, GGTLC1, NAPA, MAPKAPK2, PPCDC, POFUT2, ANKRD11, AMPD2, HSPA13	MSigDb_Dif_Expression
GSE3982_EOSINOPHIL_VS_NEUTROPHIL_DN	Neutrophils	MSigDb_Dif_Expression	NAA50, MAP3K3, TNFRSF1A, G6PC1, STX10, IRF2, WDR26, TMCC1, CTSH, OR10H2, DUSP1, CEACAM1, GPR87, PRMT5, PTGES, LTB, ATF3, RTN3, TNFSF10, VIM, APOLD1, CASP5, GNAQ, ACSL1, KIAA0040, PPP2R5A, PML, PPM1E, MOSPD2, STEAP4, DDX4, POLR1G, SPTLC2, NPEPL1, STAT1, KLRA1P, BPGM, MCL1, MAP3K14, ZNF107, SYT12, ZYX, CWC25, SLC48A1, MAPK3, FEZ2, PPM1F, HEBP1, SF3A2, PITPNA, MVD, SH3D21, BAZ1A, RPS6KA1, SNN, PRKCD, MSL1, KIAA0232, GBP2, CDS2, CERNA1, VPS37B, FAM53C, ADM, IGF2R, EIF4G3, H2BC4, AKAP3, RAMP3, GSK3B, HNF4A, SP100, IFITM3, IL17A, AGPAT1, TCF7L2, WWC3, CDA, APOBEC3A, TNFRSF10C, CADPS, TNFAIP3, MFSD13A, DPYD, CALML4, PRUNE1, LAT2, CDC42EP2, RUBCNL, MAB21L1, CPPED1, PGAP6, KAZN, GARRE1, EVI2A, TKT, CLEC11A, FTH1P5, FLOT2, SNRK, MAST3, EIF4EBP2, TRAPPC8, UCP1, SH3GLB1, YIPF1, TMEM132A, BLTP3B, REPS2, FAM163A, RAD9A, PSME1, HSD17B11, SECTM1, FCGR1A, DOCK4, B4GALT5, UBE4B, FBXL5, YBX3, ZFAND3, STAT3, TRIM8, THRB, TBL1X, CREB5, RAB5IF, LILRA1, PLEK, CTBS, CXCL6, ZFYVE21, PFKFB3, B4GALT1, CSF3R, SLC15A3, SLC7A2, IL1RN, PF4V1, PTPRG, TYMP, ERBB2, EFHC2, KRT32, ABCC5, RESF1, NRBF2, SP3P, GSTK1, NFIL3, CHD1, RAB20, NACC2, CXCL14, MME, GBAP1, RARRES1, NRDC, LILRA3, TNNC2, INTS8, LIPF, SPTBN4, OSBPL8, EIF1, IFI35, LILRB2, OMG, FOS, MGAM, CNN2, DHX58, HSD17B3, GNG5, TRIB1, OGFRL1, MARCKS, DENND5A, DUSP22, BAD, ZNF473, ORM1, CNPY3, SIGLEC5, ICAM1, HLA-B, FOLR2, MAP2K6, UVRAG, CYTH4, JUNB, PECAM1, DYSF, S100A12, TALDO1, AGMAT	MSigDb_Dif_Expression
GSE3982_DC_VS_NEUTROPHIL_DN	Neutrophils	MSigDb_Dif_Expression	TMCC1, CTDSP2, RLF, AZGP1, KCNC4, LDB1, KLF3, IMPA2, ETS2, CATSPERB, FRAT2, KRT37, BCL3, FMO1, MEFV, PPP2R5A, NMI, SPTLC2, MEIS2, ZXDC, PYGL, JOSD1, MCL1, BASP1, SH2D3C, DAPP1, SP140, TAB2, CSGALNACT1, GVINP1, R3HDM4, MYOZ3, H3C2, PI3, ELL, ST8SIA4, CXCR4, S100P, CXCL2, PCBP2, PTEN, SLC1A1, HBB, ASCL3, FAM117A, AKTIP, COL5A1, IL18R1, SEMA6A, PADI4, LRRFIP1, SRSF5, SNN, ANXA3, GBP2, XAF1, FAM53C, ADM, H2BC4, FSTL3, BRAP, SYK, PKN2, PLEKHG3, HEY1, WWC3, R3HCC1L, BRD4, RALB, TNFAIP3, MFSD13A, GDF10, BEGAIN, JAK1, TLK2, ADAM10, LAT2, GNAZ, RUBCNL, SLCO1C1, NFYC, ZEB1, MFAP3L, SUSD6, RHOA, S100A14, FCGR1BP, ALPK3, ACAA1, MAK, FFAR2, HEXIM1, STK17B, CHRM3, MAP2K3, NUMB, REPS2, CELF2, CD69, RECK, LINC00115, RNF19B, DLG3, TSPYL2, PDE4B, CKAP4, B4GALT5, ARHGAP45, VNN3P, EEF1D, CFD, KIF5A, GMIP, CRLF3, BTN2A1, USP9X, ATP6V0D1, PPP4R3B, EPS15L1, TRMT9B, FAM184A, RNF44, MCTP2, IPCEF1, GPR12, CANT1, ING3, PFKFB3, MLLT10, KDM5A, FOXJ2, TECPR2, TUBA4B, ABCC5, MX2, S1PR4, TNFAIP6, NFIL3, CDH15, CYP1A2, ARAP3, LPIN2, CASR, SLC12A6, ZNF44, ARHGAP35, PRR7, CYP4F3, SYNE2, IRF7, NECAP1, REL, APOC3, C1RL, ZNF586, SPEN, MARF1, ZNF350, TMUB2, ARPC5, NAB1, ACAD10, UIMC1, LMNB1, NINJ2, SELPLG, FPR2, RHOG, STX3, ZNF473, MMP25, RAB35, PDGFD, CDK11A, PSG4, TRPV5, PDLIM2, ZNF165, ADGRE2, CDKN2D, SERPING1, TRANK1, MPZL1, DSG1, GALNT10, NADK, DENND3, TUBA4A, TREML2, PTPRN2, RARA, DCLRE1C, GIT2, PCSK2, CFLAR, AGMAT, SLC2A3	MSigDb_Dif_Expression
GSE37416_0H_VS_24H_F_TULARENSIS_LVS_NEUTROPHIL_DN	Neutrophils	MSigDb_Dif_Expression	ERO1A, P2RX4, ATP6V1D, CFAP36, PDK1, HOOK3, C7orf50, ALKBH5, PTGES, SH3BP5, DIABLO, P4HB, KMT2E, GPBP1, HPS5, FTH1, SGSH, CFDP1, INTS13, MEA1, ELL2, SLC25A16, CEP95, CRY1, LIF, GADD45B, ZHX2, MAFG, PLEKHB2, SLC25A26, ASCC1, BRAF, TM9SF3, INSIG1, PHF23, ADIPOR2, C5orf15, CXCL2, KDM5B, HAPLN2, DHX40, BABAM2, MAPK1IP1L, GALC, GPAT4, EIF4EBP1, CCDC107, MLLT6, TRAF3, SNN, RREB1, NFKBIB, TNFRSF1B, PPME1, NR4A1, ITGA7, KCNK5, SNHG12, TIMM8A, PDCD4, HCST, SIGLEC15, SULF2, TAF9B, TBC1D2, HSD17B4, MTFP1, VEGFB, XRCC2, RASSF5, PDE4D, LSM12, TGM3, GTPBP2, HDHD5, OLR1, TNFAIP3, CBFA2T2, TBC1D22A, SAV1, CDK2, TXNDC11, VDAC2, PRXL2B, LINC00847, SERP1, HPCAL1, DDHD1, STX4, FUT11, C16orf87, ARL5B, RUNX3, CTNNAL1, BZW1, ZC3H12A, ZNF395, WDR45B, TMA16, B3GNT5, NSMCE2, CHMP4B, HCAR3, UBXN4, QKI, ANAPC16, CAPN7, SLC15A4, IER3, LZTS2, CCDC93, FKBP15, VNN3P, TFDP1, MALT1, SEC22B, SLC43A3, GALNT9, ZNF277, STAT4, SGF29, GUK1, RALGAPA1, DLG5, ZNF665, KANSL3, ZBTB1, NPC1, AKAP10, ARHGAP18, FNDC3A, GNA15, RYBP, ATG12, ATP6V1C1, LINC00343, CYFIP2, MFAP1, ITCH, TNFAIP8, REL, G3BP2, CRTC2, DDX41, SETD5, GBA3, UBE2V2, TFG, ABCF1, ZNF12, RBKS, ZMIZ1, CNOT2, ZNF292, MFSD14A, WBP11, CISD2, CREB3, ADAMTS20, PLD6, UBAP2, PLAGL2, NFKBIE, MRGBP, NUP58, EDEM1, GADD45G, PIK3C2B, ICAM1, CIDEC, DERL1, CHD9, ATP6V1F, ACP6, FBXL13, PLEKHA2, NGLY1, UQCRC2, FBXO34, LAMB3, SLC31A1, RAB8B, CLDND1, DGKA, CCNG2, MCOLN1, MAPK6, ARHGDIA, UPF3B, ZNF267, DYNC2I1, GGTLC1, FAM50A, USP28, RBPJ, GRINA, SPAG9, GPAA1, SLC2A3	MSigDb_Dif_Expression
GSE37416_12H_VS_24H_F_TULARENSIS_LVS_NEUTROPHIL_DN	Neutrophils	MSigDb_Dif_Expression	GNPTG, C7orf50, NTAN1, TNFRSF14, SNX3, DTNBP1, CHMP2B, CYSTM1, ADH1C, NPL, GABARAP, RHEB, GPR158, PABPN1, ASAH1, PNISR, SGSH, CFDP1, MEA1, SYNE3, HEXB, CRY1, MKRN2, PLCXD1, ATP6AP1, SLC25A26, COLEC12, TMC6, MROH1, ZNF280B, CCL28, LAMP2, CXCL11, SMDT1, CAST, LINC01165, CTBP1-AS, SUZ12P1, TRPM7, UBE2D2, ARID3B, CEPT1, SMG1, FNIP2, DENND1A, GPI, IGF2R, PIK3IP1, RBM28, UMOD, TMEM140, IKZF3, PDCD7, NUMA1, LILRA2, RAB7A, HSD17B4, TBC1D2, NPC2, PAG1, FAM13A, CGAS, ENSG00000267665, ARHGAP26, TRAPPC2L, PTMA, ACAT2, PHAF1, DRAM2, SLC25A29, HIPK2, CBFA2T2, RBPJ, LRRC42, EPB41, PRXL2B, LINC00847, CD63, ATP6V0E1, ABCA5, CD300A, FUT11, IL5RA, AP1AR, GDNF, EPG5, ZSCAN22, ZNF395, TMA16, BICDL2, PRPF8, NSMCE2, SNAPC1, HIBADH, HCAR3, RRAGC, AKIRIN2, SAP30, HDAC6, PARP6, SMAD2, TBCA, RIMOC1, CLCN7, GNS, SNHG6, ABCC3, NACA4P, ZBTB25, FIG4, PPARA, DVL2, POLR1E, EIF1B, USP22, IL18BP, PPFIA4, COX5A, AKAP10, ZFP62, FCRL4, FNDC3A, BRI3, VAC14, CKS1B, PIK3CB, ZFAND4, NBPF1, ZBTB20, ST13, SAFB2, TNFAIP8, RRAGD, ZNF702P, ORAI3, TOLLIP, POU2F1, UBE2V2, PPP6R2, AP3S1, ATP6V0C, FCRLB, TMUB2, KLHL36, VPS37A, PHF1, TBXT, NAP1L1, RPS6KA2, MFSD14A, MIF, ADAMTS20, NPTN, LONP1, ZMYM3, ATP6V1E1, TPST2, EDEM1, ATP2B1, HEXA, PIK3C2B, LRP4, PHC1, CDKL3, GDI1, M6PR, COX7A2L, DERL1, POU3F2, OPLAH, PABPC4L, FCGR2B, UBL7, SLC31A1, SP2, SGTB, SLC26A11, ZEB2, NISCH, MOSPD1, SNAP29, TMEM267, SEC61A2, LEP, SMARCC2, RNASEK, FAM50A, MXI1, GBE1, GNPDA1, CLN3, HERC4, TMEM144, OTUD3, GLCE, CERT1	MSigDb_Dif_Expression
GSE27786_ERYTHROBLAST_VS_NEUTROPHIL_DN	Neutrophils	MSigDb_Dif_Expression	IRF2, ATN1, EXTL2, ARRDC4, NFKBIL1, MAGED1, DHX36, DNAJC3, ABCD1, NDUFS6, THAP11, PRRC1, INO80D, RFX5, C4orf48, CHST7, NCOA6, TMEM223, GPR108, TPD52L2, ATPAF1, NUDT18, PLCB3, SMIM15, HOMEZ, VPS13D, TRIM14, ING1, ATP5F1E, AGFG1, TRIM41, TLR1, CHAC1, NDUFS4, PHF23, PLCB2, MIEF2, TMEM168, SAMD10, MCMBP, CDK13, PTPN12, HNRNPA0, TMEM61, SAR1A, RIOX2, UPF3A, SNAPIN, RAB24, ZNRF1, PRPSAP1, ZNF638, ITFG1, COP1, WDR77, LIG4, PRKRA, ZCCHC8, WASHC4, CCDC62, IKBKB, LRP10, PLPP6, TUG1, ZNF319, ZNF24, TMEM30A, PACC1, BLCAP, AAGAB, CDC42EP2, SELENOP, NXPE3, KPNA4, IKBIP, CDKL4, PGAP6, SLC35A3, TNFRSF18, PPP2R2A, PITPNM1, KMT2A, PNKD, HDAC5, PRMT9, CLUAP1, SBNO1, SGTA, PRKAR2A, CSNK2B, TRAPPC6A, GMDS, MED4, RARS1, ANP32A, SNF8, KMT5B, ARF6, RTP4, NAA35, YAF2, PPHLN1, UBXN4, SNX9, HSPA2, RNF19B, ATP13A2, SPIDR, PDE4B, SETDB1, ATP10A, RHOT1, SMAD2, CSNK1G1, STXBP3, NAA10, ATP6V0D1, WBP1L, DPM2, GSTM4, SPG11, SEC22B, TRMT10B, BTBD1, DCTN6, CORO1C, RPS6KA3, FARP1, FBXO11, EPB41L2, REXO4, APLNR, HERPUD2, ERBIN, CYP51A1, EBP, NEDD8, SLFN13, NRBF2, NFIC, KMT2D, TYK2, TIMM8B, FAM120B, ST13, RAB11A, NLN, MCEE, PSMB10, PNPLA2, ERP44, CCDC71, RNF31, POLR1H, MTERF1, CBX8, RAPGEF1, NAB1, ATP6V1H, DHX58, SERHL2, RASGRP2, DPP3, RHOH, CNOT8, L1CAM, NFAM1, UBR5, CD300LD, MAP2K7, TLX1, CSAD, SLC37A3, IPO8, NKIRAS2, GOT2, ZNF467, TMED3, PARG, RNF138, ARAP1, PURB, NFKBIZ, KRT80, OSBPL7, PLGRKT, DHCR7, ARHGEF4, APPBP2, PLEKHG2, ERLIN1, SPNS3, SHARPIN, CLTA, ARHGDIA, ABHD11, KLC1, GIT2, SLC35C2, HOPX	MSigDb_Dif_Expression
GSE37416_CTRL_VS_6H_F_TULARENSIS_LVS_NEUTROPHIL_DN	Neutrophils	MSigDb_Dif_Expression	ERO1A, CPNE5, HILPDA, PKM, RLF, DDX50, PDK1, HPCAL4, ALKBH5, LDHA, DUSP3, HIP1, KDM5C, PGM1, FFAR3, VGLL4, PIK3R5, RANBP2, INTS13, ENO1, ALDOC, PIGA, RNMT, NOD2, CBX5, EXOSC4, KCTD11, ASCC1, BNIP3, TFRC, GRPEL1, TPI1, LINC01743, DDX18, SNX20, RIMKLA, PHC2, GPAT4, SAR1B, MAPK1IP1L, SH3D21, RNF19A, CCDC107, LINC00645, ESCO1, TNFRSF1B, IRF2BP2, ADAM8, ZFAND2B, GPI, UFSP2, CXorf65, PPP1R14B, ADM, MYNN, RIOK3, PIK3IP1, RASSF7, MGARP, OPA3, ANKZF1, BHLHE40, PSMA6, PGAM1, TAF9B, SULF2, FNDC3B, MTFP1, PDXK, BRPF3, HDHD5, STK10, PDCD2L, C4orf3, LOC154761, ICOSLG, TNFRSF8, PGK1, B9D1, MGAT1, MFSD10, DAP, GPR146, TCF7L1, IZUMO4, VDAC1, FUT11, POFUT1, ETV5, BNIP3L, NFXL1, SQSTM1, P4HA1, OXSM, BZW1, FEM1C, DDIT4, CRYBB2, CYC1, DIPK2A, ZNF395, KDM3A, PLIN2, GRAMD1A, SEC24A, RNF227, SNAPC1, HCAR3, SAP30, RTL8C, KDM4B, EFNA3, ZNF770, PARP6, LMNTD2-AS1, NFKBIA, LZTS2, FKBP15, RBM8A, SERPINE1, TNIP1, MAPK7, ORC1, AMDHD2, FAM210A, ZBTB25, SLC43A3, IFNGR2, PPP1R36, GUK1, HSPG2, KRTAP19-3, ITPRIP, TRIM28, RAB33A, ZBTB1, IL18BP, TGFBR1, NXF1, GNA15, TMF1, BRI3, CLK1, PKD2, MYPOP, SLC25A21-AS1, FGF16, BMT2, RCAN2, MFAP1, ATG9A, SIAH2, DDX41, IRGC, UBE2V2, NARF, ABCF1, NFKB1, GYS1, PHF1, ZNF292, COX20, MIF, TRIML1, LONP1, HLCS, IL1RAP, PLEKHO2, NFKBIE, MRGBP, NUP58, EDEM1, FNTA, ICAM1, ZNF331, FAM162A, VPS18, CTDP1, HK2, CYLD, OSM, LGALS8, MUC6, NGLY1, GSTM3, SF3A1, ANKRD37, ZNF654, ARHGDIA, GBE1, PRKAG2-AS2, RELA, RBPJ, THUMPD3, ALDOA, GPAA1	MSigDb_Dif_Expression
GSE3982_MAST_CELL_VS_NEUTROPHIL_DN	Neutrophils	MSigDb_Dif_Expression	CTDSP2, RLF, MIR22HG, TCL1A, AZGP1, ZNF407, MLF2, GPR87, TMC5, IFITM1, GK, CYP4F11, TSPAN32, GNAQ, APOLD1, ACSL1, ABCD1, KDM5C, FMO1, KCNA6, TLR6, FBXO42, GRIA2, TNRC6B, AQP3, ZNF200, PSMB9, XKR8, SH2D3C, MBP, DGAT1, NIBAN1, CD14, VCPIP1, LARP6, SYCP2, NCF4, H3C2, ELL, SH2B2, MTARC1, ADAM15, PSAP, SEMA6A, BAZ1A, ISG20, LRRFIP1, KRTAP2-4, SAMD9, JMJD1C, VPS37B, CEACAM3, INPP4A, HERC3, LIMK2, CX3CR1, IP6K1, TBC1D15, MED15, KIR2DL4, CSRP2, TNFAIP3, ETV7, AOX1, FOLH1B, CDC42EP2, BIRC7, RAB36, PSD3, CCNJL, SCAF11, HNRNPH2, DHTKD1, BMAL1, ZEB1, C5AR1, DAZAP2, HOOK1, EVI2A, TKT, HDAC9, SGTA, DNAJC4, CADM4, ASAP1, PIM1, IKBKG, SLC17A2, HEXIM1, PIM2, CABIN1, SLC25A28, BLTP3B, MC4R, GLRX, RAD9A, LSP1, IFI16, BTN3A1, GSTA3, PPIG, KCNK7, MON1B, BCL6, PPIL6, DLK2, FLOT1, TYROBP, STAT3, GMIP, LINC00472, OPHN1, VASP, PRCP, TRIM8, ADAM11, RNF44, HTR2A, SLK, IPCEF1, KAT2B, JADE1, F2RL1, PFKFB3, SLC15A3, SLC12A9, CCZ1, LGI2, NPR3, CHRD, MX2, MED25, S1PR4, IFIH1, ARAP3, SLC12A6, PRR7, INS, SYNE2, BMX, ERF, EFHD2, CXCL14, ADIPOR1, MINDY1, NRDC, ZNF586, TAGLN3, RAB40C, MARF1, NEDD9, OXT, KLHL25, OR12D2, FBXO22, MARK3, RRP12, SLC11A1, APAF1, MAP2K4, SOX10, LMNB1, SELPLG, DENND5A, CCN2, SPINT1, MMP25, RAB35, SH2D3A, CSAD, LTBR, NECTIN3, PSG4, ARAP1, SERINC1, CYTH4, ACOX1, ZNF165, CDKN2D, PISD, TRANK1, LSM14A, SMCP, SLC31A2, WAS, JUNB, DOCK5, USP4, KCNA3, LEP, SPI1, PTAFR, GPR162, GIT2, LILRA6, SPAG9, AGMAT	MSigDb_Dif_Expression
HOWARD_NEUTROPHIL_INACT_MONOV_INFLUENZA_A_INDONESIA_05_2005_H5N1_AGE_18_49YO_1DY_UP	Neutrophils	MSigDb_Dif_Expression	CPNE5, ZCCHC2, GBP5, EFCAB2, DTNBP1, DTX3L, NRN1, NASP, GBP3, PML, KREMEN1, APOL3, POLB, PSMB9, HLA-K, APOL6, GVINP1, BRCA2, HLA-DMB, CASZ1, HLA-DRA, DUSP5, SLAMF7, SNX20, DNPEP, KPTN, GYPC, TSPAN17, REC8, IRF1-AS1, ANXA3, DENND1A, XAF1, ZBP1, CACNA1E, DDX60L, IFITM3, DDX21, ENTPD6, TRIM69, AANAT, BAK1P1, FRMD3, CLEC5A, SLC26A8, KLF5, RTP4, RASGRP3, SECTM1, PDE4B, ITPRIPL2, FANCA, ARL2, CETP, HERC5, EZH2, CREB3L2, VRK2, GBP1P1, PCK2, CD22, SPATS2L, MRPL44, MR1, IRF9, GBP1, RNF144A, GAS8, TYMP, TNFAIP6, IFIH1, SELENOI, FZD5, PSMB10, RAB20, STN1, ACO1, ID3, SERPINB9, FAM241A, IFI35, MICB, PCGF5, CNTRL, RPS2P5, PSME2P2, MAFF, STOML1, CMAHP, ANKRD22, LHFPL2, MT2A, ARMH1, SERPING1, C22orf23, GBP6, SAMD9L, TMSB10, LOXL1, PSTPIP2, NAPA, MX1, STOM, IFIT1, KDSR, ATF3, IFITM1, IFIT5, PUS3, CASP5, ISG15, GLS, WDFY1, MED12L, SRBD1, HELB, STAT1, AIM2, HLA-DMA, MITD1, NOD2, APOBEC3C, SP140, ARHGAP5, GADD45B, IFI30, PLSCR2, CCRL2, GIMAP1, GCH1, HEBP1, KCNJ15, RSAD2, STAT2, SCO2, OASL, OAS1, PARP14, CISH, LACTB, RIPK2, GSDMD, STK3, RNF213, TRIM6, LAP3, APOBEC3G, SPTSSA, USP42, PLSCR1, SMCO4, FCGR1BP, C12orf4, TRIM21, HLA-DQB1, CIITA, SSB, STAMBPL1, CMPK2, BTLA, CD69, SH3PXD2A, IFI16, PCED1B, CAPNS2, EIF2AK2, EPB41L5, SLC43A3, SLK, OAS2, VAT1, GSTK1, TARS1, APOBEC3F, PARP12, PPM1K, MOV10, MATCAP1, IRF7, HLA-DOB, VAMP5, SCARF1, NOL10, ATP10D, EPSTI1, LPCAT2, PRR5L, CMTR1, APOBEC3D, RILP, PI4K2B, RHOC, TTC39B, TLDC2, GALM, NAA15, BPI, CACNA1A, FAM111A, SAMHD1, FCER2, NUCB1, TMEM268, IFI44, SEPTIN4, BPNT1, GSTO1, TBC1D8, DEXI, LIPM, AFF1, ZC3H7B, IGF2BP3, KARS1, PIK3AP1, RSPH9, ZNF496, SESTD1, CD274, HERC6, TARBP1, SERPINB6, IL18R1, ISG20, CREG1, GBP4, GBP2, FAM135A, PLAAT4, EIF4G3, TAP2, PARP11, VPS9D1, PRRG4, CD2AP, SLFN5, PSMB8, PPP1R2P1, STX11, RIGI, NCOA7, AP1AR, HLA-DRB5, WDR86, EPG5, LAMP3, MTHFD2, TAP1, CALHM6, BATF, DOCK4, BAK1, DDIAS, NDUFA9, TLR5, AGPAT3, NUP205, IKZF4, CTSA, APOL4, IL15RA, BTN3A3, GRIP1, MDK, FBXO6, CD59, APOL2, ERAP2, GRAMD1B, NOD1, CNIH4, LMTK2, ERI1, DDX60, EMC9, BST2, RBCK1, LIMK1, KLF4, PARP10, RHBDF2, TMEM272, ICAM1, CD74, NLRC5, TNFSF13B, MICALL1, RMI2, TFEC, GRINA, RBM43, APOL1, ODF3B, IL12RB1, NUB1, CEACAM1, RCVRN, VPS13C, SCRN1, FRMD4B, GIMAP2, SLC25A22, RFX5, SORT1, IDO1, ANXA2R, PDCD1LG2, IRAK2, N4BP2L1, CARD17P, STX17, TMEM62, OAS3, UBE2L6, LY6E, TIMM10, NT5C3A, CD7, ATR, ATP1B3, IGFLR1, NPC2, CGAS, UBR1, P2RY14, IFI44L, FLT3LG, IFIT3, RNASEH2B, C4BPA, C19orf12, CNDP2, ETV7, ACSL5, WHRN, H2BC18, IFI6, TRIM22, CARD16, EXOC3L1, LIPA, PPP2R5B, KIAA0930, IFIT2, WARS1, TTC26, SLC25A28, SEPHS2, PSME1, TRAFD1, FCGR1A, USP30, CASP7, ANO6, CMC2, FANCL, TIFA, NRADDP, SPHK1, C5, IRF1, SMTNL1, ECHS1, XRN1, SIAH2, HLA-DRB1, ZC3HAV1, BATF2, FCRL2, RANGAP1, DHX58, ASPHD2, DDX51, RHOH, DNAJC1, KIF24, PARP9, GADD45G, KLHDC7B, PSME2, CFAP410, TRIM5, TRIM38, CTRL, C3AR1, BLOC1S6, ERLIN1, PAN2, MSRB2, GPR65, RNF43, SOCS1, TMEM229B, MVB12A	MSigDb_Dif_Expression
